record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",True
2,"{""name"": ""RXXXXXXXXXXX"", ""email"": ""raXXXXXXXXXX@email.com"", ""city"": ""[REDACTED_ADDRESS]""}",True
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",False
4,"{""aadhar"": ""XXXX XXXX 9012"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""stXXXXXXXX@email.com"", ""product_id"": ""PROD123""}",True
6,"{""name"": ""Amit Singh"", ""address"": ""123 MG Road, Bangalore, 560001"", ""ip_address"": ""192.168.1.100""}",False
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""usXXXXX@paytm"", ""amount"": 500}",True
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",False
10,"{""passport"": ""XXXXXXX"", ""booking_reference"": ""BK123""}",True
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""SXXXXXXXXXX"", ""email"": ""snXXXXXXXXX@gmail.com"", ""device_id"": ""MOB123456""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",False
16,"{""name"": ""VXXXXXXXXXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""email"": ""viXXXX@company.com""}",True
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",False
18,"{""aadhar"": ""XXXX XXXX 1098"", ""verification_status"": ""verified""}",True
19,"{""email"": ""cuXXXXXX@service.com"", ""query_type"": ""refund""}",True
20,"{""upi_id"": ""91XXXXXXXX@ybl"", ""merchant"": ""Flipkart""}",True
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",False
22,"{""name"": ""DXXXXXXXXXXXXXX"", ""phone"": ""78XXXXXX56"", ""email"": ""deXXXXX@email.com""}",True
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",False
24,"{""passport"": ""XXXXXXX"", ""travel_date"": ""2024-03-15""}",True
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",False
26,"{""name"": ""Ravi Gupta"", ""address"": ""789 Park Street, Kolkata, 700016"", ""ip_address"": ""10.0.0.50""}",False
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",False
28,"{""phone"": ""67XXXXXX45"", ""sms_consent"": true}",True
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",False
30,"{""aadhar"": ""XXXX XXXX 3045"", ""kyc_status"": ""pending""}",True
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",False
32,"{""name"": ""MXXXXXXXXXX"", ""email"": ""meXXXXX@workplace.com"", ""device_type"": ""Android""}",True
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",False
34,"{""upi_id"": ""meXXXXXX@okaxis"", ""payment_method"": ""UPI""}",True
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",False
36,"{""name"": ""Arjun Malhotra"", ""address"": ""321 Connaught Place, New Delhi, 110001"", ""phone"": ""90XXXXXX78""}",True
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",False
38,"{""passport"": ""XXXXXXX"", ""country"": ""India""}",True
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",False
40,"{""aadhar"": ""XXXX XXXX 0123"", ""bank_verification"": ""success""}",True
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",False
42,"{""name"": ""SXXXXXXXXXXXXX"", ""email"": ""siXXXXXX@tech.com"", ""ip_address"": ""203.192.1.45""}",True
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",False
44,"{""phone"": ""89XXXXXX67"", ""notification_preference"": ""SMS""}",True
45,"{""product_rating"": 4.5, ""review_count"": 150}",False
46,"{""upi_id"": ""faXXXXXXXXXXX@ibl"", ""family_size"": 4}",True
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",False
48,"{""name"": ""PXXXXXXXXXX"", ""address"": ""[REDACTED_ADDRESS]"", ""email"": ""poXXXXXXXXX@email.in""}",True
49,"{""app_name"": ""Flipkart"", ""version"": ""8.21.0""}",False
50,"{""passport"": ""XXXXXXX"", ""issue_date"": ""2020-05-10""}",True
51,"{""last_name"": ""Iyer"", ""profession"": ""Software Engineer""}",False
52,"{""aadhar"": ""XXXX XXXX 1234"", ""address_proof"": ""verified""}",True
53,"{""email"": ""suXXXXX@flipkart.com"", ""ticket_id"": ""TICK456""}",True
54,"{""name"": ""Rahul Krishnan"", ""phone"": ""70XXXXXX89"", ""device_id"": ""ANDROID789""}",True
